"id","firstname","middlename","lastname","nickname","name","suffix","email","email_verified_at","password","two_factor_secret","two_factor_recovery_codes","remember_token","first_time_login","created_at","updated_at","profile_id"
"1","vendor ",NULL,"admin",NULL,"vendor admin",NULL,"vendor-admin@vendor.ph","2021-05-25 08:45:06","$2y$10$akS5u0j5IVhnPmPjH1WHj.kWqlqJrBMQmwoWLWfPIFY016zpTYLEu",NULL,NULL,NULL,"0","2021-05-25 08:45:06","2021-05-25 13:42:19","1"
"3","Supervisor",NULL,"Vendor",NULL,"Vendor Supervisor",NULL,"supervisor@vendor.ph","2021-05-05 00:27:22","$2y$10$mlEX.LOjNKIbJ7etQ3GM8OnycPPN7vJdxiykpRKMPxcoBMDXSCKVW",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-20 05:43:03","3"
"4","GT",NULL,"Admin",NULL,"GT Admin",NULL,"gt-admin@globe.ph","2021-05-05 00:27:22","$2y$10$fwbB.5h3jeqwSZPjJgK8NeOvuejfTTLIHfr9167qGnyvKD2byZYyi",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 00:27:22","4"
"5","STS",NULL,"Vendor",NULL,"Shiela Arbulante",NULL,"sts-vendor-admin@globe.ph","2021-05-05 00:27:22","$2y$10$4ljDZGCsjlzkf1N1uFT.1eS635mAPyC4WNGtmZtxO5IuIev8QAHr.",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-25 06:06:48","5"
"6","STS",NULL,"Staff",NULL,"STS Staff",NULL,"sts-staff@globe.ph","2021-05-05 00:27:22","$2y$10$Ld5tj7Ua78TjEDgJoNPELulvUjl9SS1FWD48r9bZYgP19fPJQVUZS",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 00:27:22","6"
"7","STS",NULL,"Head",NULL,"STS Head",NULL,"sts-head@globe.ph","2021-05-05 00:27:22","$2y$10$F1RHbNsXCJcyiSVr1JmtWumDw7KZJDS1W2QwQ994DkL1XAAJe41g.",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-19 06:17:56","7"
"8","Program",NULL,"Staff",NULL,"Program Staff",NULL,"program-staff@globe.ph","2021-05-05 00:27:22","$2y$10$lZ17vSBcAGca09XRu1gSq.qSUaKzNHCszMdzGOwVh6GS.APWoYPTS",NULL,NULL,NULL,"0","2021-05-05 00:27:23","2021-05-05 00:27:23","8"
"9","Program",NULL,"Supervisor",NULL,"Program Supervisor",NULL,"program-supervisor@globe.ph","2021-05-05 00:27:23","$2y$10$EPu7.nZR3ucg151sn9fycudtwhv9OxSql6ttx91DQrEl4fH7sFC2i",NULL,NULL,NULL,"0","2021-05-05 00:27:23","2021-05-05 00:27:23","9"
"10","Program",NULL,"Head",NULL,"Program Head",NULL,"program-head@globe.ph","2021-05-05 00:27:23","$2y$10$mFiyDc08/a.Fa/rsvgZ5s.bfEX84GkvRnwsjKj7igCLOdrkR7oat6",NULL,NULL,NULL,"0","2021-05-05 00:27:23","2021-05-05 00:27:23","10"
"11","Super User",NULL,"Globe",NULL,"Super User Globe",NULL,"superuser@globe.com.ph","2021-05-05 00:27:23","$2y$10$mFiyDc08/a.Fa/rsvgZ5s.bfEX84GkvRnwsjKj7igCLOdrkR7oat6",NULL,NULL,NULL,"0","2021-05-05 00:27:23","2021-05-26 01:15:25","12"
