"id","firstname","lastname","name","email","email_verified_at","password","two_factor_secret","two_factor_recovery_codes","remember_token","first_time_login","created_at","updated_at","profile_id"
"1","Vendor","Admin","Vendor Admin","vendor-admin@vendor.ph","2021-05-05 00:27:22","$2y$10$5NZxeq9yeVyPtwTotmH.Gukf2rwFs44N4qapiY9iJ92uiICjf/YOK",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 00:27:22","1"
"2","Agent","Vendor","Vendor Agent","agent@vendor.ph","2021-05-05 00:27:22","$2y$10$VORgmPFHBxbdoAVa4D2Y5.4/YyuIvDr90q/27d3kxq7.KQE6fC5xW",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 05:15:05","2"
"3","Supervisor","Vendor","Vendor Supervisor","supervisor@vendor.ph","2021-05-05 00:27:22","$2y$10$mlEX.LOjNKIbJ7etQ3GM8OnycPPN7vJdxiykpRKMPxcoBMDXSCKVW",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 00:27:22","3"
"4","GT","Admin","GT Admin","gt-admin@globe.ph","2021-05-05 00:27:22","$2y$10$fwbB.5h3jeqwSZPjJgK8NeOvuejfTTLIHfr9167qGnyvKD2byZYyi",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 00:27:22","4"
"5","STS","Vendor","STS Vendor Maager","sts-vendor-admin@globe.ph","2021-05-05 00:27:22","$2y$10$4ljDZGCsjlzkf1N1uFT.1eS635mAPyC4WNGtmZtxO5IuIev8QAHr.",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 01:36:02","3"
"6","STS","Staff","STS Staff","sts-staff@globe.ph","2021-05-05 00:27:22","$2y$10$Ld5tj7Ua78TjEDgJoNPELulvUjl9SS1FWD48r9bZYgP19fPJQVUZS",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 00:27:22","6"
"7","STS","Head","STS Head","sts-head@globe.ph","2021-05-05 00:27:22","$2y$10$F1RHbNsXCJcyiSVr1JmtWumDw7KZJDS1W2QwQ994DkL1XAAJe41g.",NULL,NULL,NULL,"0","2021-05-05 00:27:22","2021-05-05 00:27:22","7"
"8","Program","Staff","Program Staff","program-staff@globe.ph","2021-05-05 00:27:22","$2y$10$lZ17vSBcAGca09XRu1gSq.qSUaKzNHCszMdzGOwVh6GS.APWoYPTS",NULL,NULL,NULL,"0","2021-05-05 00:27:23","2021-05-05 00:27:23","8"
"9","Program","Supervisor","Program Supervisor","program-supervisor@globe.ph","2021-05-05 00:27:23","$2y$10$EPu7.nZR3ucg151sn9fycudtwhv9OxSql6ttx91DQrEl4fH7sFC2i",NULL,NULL,NULL,"0","2021-05-05 00:27:23","2021-05-05 00:27:23","9"
"10","Program","Head","Program Head","program-head@globe.ph","2021-05-05 00:27:23","$2y$10$mFiyDc08/a.Fa/rsvgZ5s.bfEX84GkvRnwsjKj7igCLOdrkR7oat6",NULL,NULL,NULL,"0","2021-05-05 00:27:23","2021-05-05 00:27:23","10"
